patch_id,center_lat,center_lon,timestamp,dem_mean_elev,dem_max_slope,dem_mean_slope,dem_aspect,image_path,rain_6h,soil_moisture_mean_6h,vib_rms_6h,porepressure_mean_6h,displacement_6h,label_rockfall_within_24h
133,1669793.4943637322,646276.5942083192,2025-09-11T14:28:46.406725,463.701171875,3.517561912536621,-3331.379150390625,-3286.0322265625,,,,,,,
134,1669793.4943637322,646367.4987697979,2025-09-11T14:28:46.411737,461.4543151855469,2.1536502838134766,-3332.079345703125,-3312.681396484375,,,,,,,
135,1669793.4943637322,646458.4033312765,2025-09-11T14:28:46.416790,461.2091979980469,2.742710828781128,-3331.8037109375,-3176.736572265625,,,,,,,
136,1669793.4943637322,646549.3078927551,2025-09-11T14:28:46.420818,461.5027160644531,1.4567426443099976,-3332.303955078125,-3147.903564453125,,,,,,,
137,1669793.4943637322,646640.2124542339,2025-09-11T14:28:46.426374,463.1224060058594,1.680802345275879,-3332.39453125,-3175.67333984375,,,,,,,
138,1669793.4943637322,646731.1170157125,2025-09-11T14:28:46.430501,462.5056457519531,4.5355095863342285,-3331.64599609375,-3238.11474609375,,,,,,,
139,1669793.4943637322,646822.0215771912,2025-09-11T14:28:46.436003,463.18951416015625,4.362661838531494,-3330.612060546875,-3230.054931640625,,,,,,,
140,1669793.4943637322,646912.9261386698,2025-09-11T14:28:46.441549,458.5926208496094,3.406797409057617,-3331.45703125,-3260.143310546875,,,,,,,
141,1669793.4943637322,647003.8307001485,2025-09-11T14:28:46.446563,455.8668212890625,1.6227567195892334,-3332.0517578125,-3266.7763671875,,,,,,,
142,1669793.4943637322,647094.7352616271,2025-09-11T14:28:46.450580,453.9319763183594,1.3752158880233765,-3332.55224609375,-3236.6015625,,,,,,,
143,1669793.4943637322,647185.6398231059,2025-09-11T14:28:46.454586,454.11126708984375,0.8210982084274292,-3332.7001953125,-3234.348876953125,,,,,,,
144,1669793.4943637322,647276.5443845845,2025-09-11T14:28:46.459756,453.5845947265625,0.7421159148216248,-3332.6923828125,-3178.7265625,,,,,,,
145,1669793.4943637322,647367.4489460632,2025-09-11T14:28:46.463861,453.67498779296875,0.6078765988349915,-3332.7578125,-3319.83935546875,,,,,,,
146,1669793.4943637322,647458.3535075418,2025-09-11T14:28:46.467962,453.6505126953125,0.6448315382003784,-3332.664794921875,-3114.724853515625,,,,,,,
147,1669793.4943637322,647549.2580690205,2025-09-11T14:28:46.472553,454.37139892578125,0.728428065776825,-3332.6748046875,-3191.149658203125,,,,,,,
148,1669793.4943637322,647640.1626304991,2025-09-11T14:28:46.477323,454.9017028808594,1.0264569520950317,-3332.473388671875,-3136.04345703125,,,,,,,
149,1669793.4943637322,647731.0671919778,2025-09-11T14:28:46.480999,455.5113525390625,0.8650138974189758,-3332.64208984375,-3154.462158203125,,,,,,,
150,1669793.4943637322,647821.9717534564,2025-09-11T14:28:46.486172,456.1535949707031,0.8624587059020996,-3332.519775390625,-3114.21728515625,,,,,,,
151,1669793.4943637322,647912.8763149352,2025-09-11T14:28:46.489854,456.5525207519531,0.7488828897476196,-3332.553955078125,-3108.298095703125,,,,,,,
152,1669793.4943637322,648003.7808764138,2025-09-11T14:28:46.493897,457.5169372558594,1.1682231426239014,-3332.4501953125,-3141.189208984375,,,,,,,
153,1669793.4943637322,648094.6854378924,2025-09-11T14:28:46.499541,458.5352783203125,1.3425461053848267,-3332.39404296875,-3141.591796875,,,,,,,
154,1669793.4943637322,648185.5899993711,2025-09-11T14:28:46.503548,460.3087158203125,1.2148208618164062,-3332.31689453125,-3141.227294921875,,,,,,,
155,1669793.4943637322,648276.4945608497,2025-09-11T14:28:46.508287,461.7374267578125,1.414057731628418,-3332.3544921875,-3151.08056640625,,,,,,,
156,1669793.4943637322,648367.3991223284,2025-09-11T14:28:46.511959,462.5755615234375,1.3153945207595825,-3332.49365234375,-3172.781982421875,,,,,,,
157,1669793.4943637322,648458.3036838071,2025-09-11T14:28:46.517481,463.80169677734375,1.2575222253799438,-3332.6416015625,-3174.41455078125,,,,,,,
158,1669793.4943637322,648549.2082452858,2025-09-11T14:28:46.522145,464.4925537109375,1.4763967990875244,-3332.4404296875,-3163.16796875,,,,,,,
159,1669793.4943637322,648640.1128067644,2025-09-11T14:28:46.525246,465.3147277832031,2.715442419052124,-3331.739013671875,-3177.7587890625,,,,,,,
160,1669793.4943637322,648731.0173682431,2025-09-11T14:28:46.530749,465.4315185546875,1.5863555669784546,-3332.38623046875,-3167.515625,,,,,,,
161,1669793.4943637322,648821.9219297217,2025-09-11T14:28:46.535178,465.1810302734375,1.4862377643585205,1.1702136993408203,73.86305236816406,,,,,,,
162,1669793.4943637322,648912.8264912004,2025-09-11T14:28:46.539935,463.9658203125,1.2612766027450562,0.9406478404998779,220.399169921875,,,,,,,
